"Query","Match","HMDB","PubChem","KEGG","Comment","pathway"
"Oxaloacetate","Oxalacetic acid","HMDB00223","970","C00036","1","Alanine Metabolism"
"Arachidonic acid","Arachidonic acid","HMDB01043","444899","C00219","1","Alpha Linolenic Acid and Linoleic Acid Metabolism"
"Tetracosahexaenoic acid","Tetracosahexaenoic acid","HMDB02007","11792612","","1","Alpha Linolenic Acid and Linoleic Acid Metabolism"
"N-Acetylneuraminic acid","N-Acetylneuraminic acid","HMDB00230","445063","C19910","1","Amino Sugar Metabolism"
"Asparagine","L-Asparagine","HMDB00168","6267","C00152","1","Ammonia Recycling"
"Glutamine","L-Glutamine","HMDB00641","5961","C00064","1","Ammonia Recycling"
"Androstenedione","Androstenedione","HMDB00053","6128","C00280","1","Androgen and Estrogen Metabolism"
"4-Hydroxy-2-oxoglutaric acid","4-Hydroxy-2-oxoglutaric acid","HMDB02070","599","C01127","1","Arginine and Proline Metabolism"
"Urea","Urea","HMDB00294","1176","C00086","1","Arginine and Proline Metabolism"
"1-Pyrroline-2-carboxylic acid","1-Pyrroline-2-carboxylic acid","HMDB06875","440046","C03564","1","Arginine and Proline Metabolism"
"Citrulline","Citrulline","HMDB00904","9750","C00327","1","Arginine and Proline Metabolism"
"Aspartate","L-Aspartic acid","HMDB00191","5960","C00049","1","Beta-Alanine Metabolism"
"Uracil","Uracil","HMDB00300","1174","C00106","1","Beta-Alanine Metabolism"
"Carnosine","Carnosine","HMDB00033","439224","C00386","1","Beta-Alanine Metabolism"
"Beta-alanine","Beta-Alanine","HMDB00056","239","C00099","1","Beta-Alanine Metabolism"
"Caproic acid","Caproic acid","HMDB00535","8892","C01585","1","Beta Oxidation of Very Long Chain Fatty Acids"
"Dodecanoic acid","Dodecanoic acid","HMDB00638","3893","C02679","1","Beta Oxidation of Very Long Chain Fatty Acids"
"Deoxycholic acid","Deoxycholic acid","HMDB00626","222528","C04483","1","Bile Acid Biosynthesis"
